vehicle_model,fuel_type,transmission_type,country,maximum_power(hp),maximum_torque(N/m),maximum_speed(km/h),vehicle_acceleration(0-100 km/h in seconds),vehicle_mileage(mpg),vehicle_sprung_mass(kg),steering_radius(m),axle_type(driven/dead),tyre_brand,tyre_size,tread_material,tread_pattern,tyre_camber_angle(degree),standard_tread_depth(mm),retreaded,road_condition,weather_condition,expected_tyre_life(km),kilometers_driven(km),remaining_useful_life(km),current_tread_depth(mm)
Coupe,Diesel,Manual,USA,392,465,220,12.55,44.92,1908,6.3,driven,Pirelli,205/55R16,Carbon Black,Symmetric,-0.09,8.0,Yes,Smooth,Dry,50752.4,39077.5,7276.9,2.95
Sedan,Electric,Manual,Germany,446,456,224,10.58,18.66,2263,6.46,dead,Goodyear,245/40R18,Carbon Black,Asymmetric,2.75,8.0,No,Off-road,Humid,64179.3,7704.0,35200.8,7.23
Sedan,Petrol,Automatic,Japan,408,222,190,8.34,25.39,1257,5.8,dead,Michelin,225/65R17,Dual Compound,Directional,-0.44,8.5,No,Rough,Rainy,68662.2,36936.8,19774.3,4.93
Sedan,Electric,Automatic,India,194,334,278,7.46,37.06,1389,6.33,dead,Continental,245/40R18,Carbon Black,Asymmetric,-0.86,7.5,Yes,Off-road,Rainy,47657.3,39811.3,4890.4,2.32
Sedan,Diesel,Automatic,USA,355,311,210,4.19,33.07,2366,5.79,driven,Pirelli,195/65R15,Carbon Black,Directional,2.99,8.5,No,Rough,Humid,65722.3,38840.7,16755.2,4.54
Sedan,Petrol,Automatic,India,360,279,178,12.25,15.63,1772,4.57,dead,Goodyear,225/65R17,Carbon Black,Directional,0.19,8.0,No,Rough,Rainy,63206.8,27783.8,22079.0,5.39
SUV,Petrol,Manual,Japan,354,491,208,5.43,47.96,1753,6.49,driven,Pirelli,205/55R16,Silica Compound,Symmetric,-0.75,8.5,No,Off-road,Cold,60135.5,17111.4,26816.8,6.63
Coupe,Diesel,Automatic,India,340,326,187,7.1,50.15,2410,4.7,dead,Bridgestone,225/65R17,Carbon Black,Symmetric,-0.68,8.0,No,Rough,Humid,51547.6,17030.9,21514.1,5.73
Hatchback,Diesel,Automatic,USA,410,388,264,9.69,42.27,1393,5.87,dead,Continental,205/55R16,Silica Compound,Symmetric,-1.83,8.5,No,Smooth,Cold,43295.9,10484.4,20451.2,6.74
Hatchback,Diesel,Automatic,Japan,286,313,196,6.46,36.64,1682,5.01,driven,Michelin,195/65R15,Silica Compound,Asymmetric,0.07,8.5,No,Off-road,Rainy,54516.9,10670.4,27329.3,7.1
Hatchback,Diesel,Manual,Germany,407,499,160,8.97,53.43,1269,5.28,driven,Pirelli,205/55R16,Carbon Black,Asymmetric,-0.37,8.5,No,Smooth,Cold,43170.0,25421.3,11062.7,4.48
Hatchback,Diesel,Manual,USA,290,522,221,12.09,19.8,1148,5.79,dead,Goodyear,245/40R18,Carbon Black,Directional,-1.38,7.5,No,Rough,Cold,55004.4,28018.4,16820.2,4.48
SUV,Petrol,Automatic,UK,294,271,238,8.71,44.52,2403,5.37,dead,Pirelli,195/65R15,Carbon Black,Symmetric,-2.04,8.5,No,Rough,Cold,64608.8,47476.7,10678.4,3.58
Truck,Diesel,Automatic,USA,119,356,154,13.49,20.13,1810,5.0,dead,Goodyear,195/65R15,Carbon Black,Asymmetric,-1.13,8.5,No,Off-road,Cold,69929.1,21533.2,30164.9,6.38
Coupe,Petrol,Manual,Japan,105,207,208,12.48,30.27,1027,5.17,driven,Pirelli,205/55R16,Carbon Black,Directional,0.05,7.5,No,Smooth,Humid,45940.3,21170.4,15438.9,4.76
Sedan,Petrol,Manual,USA,106,130,215,7.33,38.42,2172,5.18,dead,Michelin,225/65R17,Carbon Black,Asymmetric,-2.65,7.5,No,Smooth,Rainy,46235.7,31457.4,9211.3,3.31
Truck,Diesel,Manual,Germany,269,306,201,8.0,44.48,2443,6.42,dead,Michelin,205/55R16,Carbon Black,Directional,-2.08,8.0,No,Off-road,Rainy,64326.5,61961.5,1474.1,1.76
Hatchback,Diesel,Manual,Germany,162,333,258,8.23,15.15,1279,6.1,driven,Continental,205/55R16,Silica Compound,Symmetric,2.69,8.0,No,Smooth,Dry,54071.8,18864.0,21944.8,5.86
Truck,Hybrid,Manual,UK,249,134,176,10.26,25.42,2205,5.42,dead,Michelin,195/65R15,Dual Compound,Directional,0.26,8.5,No,Off-road,Cold,67474.1,20121.4,29514.7,6.52
Coupe,Petrol,Manual,India,246,385,273,6.87,36.53,1165,4.9,driven,Pirelli,245/40R18,Silica Compound,Directional,-2.62,8.0,No,Off-road,Cold,63069.9,28336.6,21649.1,5.18
Sedan,Diesel,Manual,Japan,267,416,165,13.69,36.31,1016,6.12,driven,Pirelli,225/65R17,Carbon Black,Symmetric,1.16,8.5,Yes,Rough,Dry,62092.8,44947.4,10686.7,3.47
Sedan,Diesel,Manual,Japan,248,530,147,10.09,40.51,2173,4.81,dead,Michelin,205/55R16,Dual Compound,Symmetric,-2.63,7.5,No,Rough,Dry,43058.6,41403.0,1031.9,1.73
Coupe,Diesel,Automatic,India,368,563,143,7.99,27.15,1338,4.92,dead,Bridgestone,245/40R18,Dual Compound,Directional,1.43,7.5,No,Smooth,Cold,41076.3,22038.9,11865.9,4.29
Coupe,Hybrid,Automatic,Germany,308,192,160,10.45,36.62,2068,5.23,driven,Pirelli,245/40R18,Carbon Black,Asymmetric,1.5,8.5,No,Off-road,Rainy,49502.9,40218.1,5787.1,3.01
Hatchback,Hybrid,Automatic,Germany,176,171,164,7.95,22.59,1841,6.26,driven,Continental,225/65R17,Carbon Black,Symmetric,0.91,8.0,No,Off-road,Dry,46519.0,21603.4,15529.7,5.13
Sedan,Electric,Automatic,USA,446,247,182,12.18,22.47,1188,4.76,dead,Bridgestone,245/40R18,Silica Compound,Directional,1.39,8.0,No,Off-road,Cold,61369.3,2446.0,36726.6,7.75
Truck,Petrol,Automatic,UK,95,147,176,9.68,38.06,1650,4.74,driven,Michelin,205/55R16,Dual Compound,Symmetric,-2.47,8.0,No,Off-road,Rainy,53522.0,47860.0,3529.1,2.44
SUV,Electric,Automatic,UK,358,184,181,4.42,42.42,2084,5.49,driven,Goodyear,195/65R15,Dual Compound,Symmetric,1.36,8.5,No,Rough,Humid,55694.4,16144.6,24651.2,6.33
SUV,Diesel,Manual,UK,214,136,231,5.77,19.82,1293,5.05,dead,Pirelli,245/40R18,Carbon Black,Asymmetric,-2.18,8.0,No,Smooth,Dry,64412.2,8931.8,34580.7,7.08
Coupe,Hybrid,Manual,USA,105,470,200,12.65,19.91,2056,5.64,driven,Goodyear,195/65R15,Carbon Black,Symmetric,-0.96,7.5,Yes,Rough,Dry,54355.1,54146.5,130.0,1.63
Hatchback,Hybrid,Automatic,UK,431,547,207,9.63,37.61,2322,5.4,driven,Continental,225/65R17,Dual Compound,Directional,2.66,7.5,No,Off-road,Rainy,56347.8,19575.2,22920.2,5.34
SUV,Electric,Automatic,India,91,257,192,13.5,25.8,1414,5.37,driven,Bridgestone,225/65R17,Dual Compound,Directional,0.02,7.5,No,Smooth,Humid,65269.6,8911.8,35127.5,6.76
Sedan,Hybrid,Manual,USA,151,438,223,4.72,30.7,1802,4.72,driven,Goodyear,245/40R18,Carbon Black,Symmetric,2.8,7.5,No,Smooth,Rainy,52940.1,16493.1,22717.2,5.64
Coupe,Diesel,Manual,India,212,348,173,6.95,31.03,1430,4.78,driven,Continental,195/65R15,Carbon Black,Symmetric,-2.47,7.5,Yes,Off-road,Dry,42493.8,21834.9,12876.6,4.61
Truck,Hybrid,Manual,USA,185,373,215,5.94,22.14,2123,6.14,driven,Goodyear,205/55R16,Carbon Black,Asymmetric,-0.13,7.5,No,Off-road,Humid,55651.2,4894.9,31636.1,6.96
Coupe,Electric,Automatic,UK,299,596,236,9.54,15.05,2046,6.27,dead,Goodyear,195/65R15,Silica Compound,Asymmetric,-2.63,7.5,No,Rough,Cold,57380.9,20233.7,23153.6,5.37
Truck,Diesel,Manual,India,256,329,169,7.83,49.13,2443,4.97,dead,Continental,245/40R18,Silica Compound,Asymmetric,0.78,7.5,Yes,Rough,Dry,55353.9,37023.8,11425.1,3.67
Coupe,Electric,Automatic,India,361,550,227,5.57,43.6,2447,4.73,dead,Pirelli,195/65R15,Carbon Black,Directional,-2.53,7.5,No,Off-road,Rainy,47741.5,43728.0,2501.6,1.97
Coupe,Hybrid,Automatic,India,212,413,146,10.43,42.62,1486,4.61,dead,Goodyear,195/65R15,Silica Compound,Asymmetric,-1.95,8.5,No,Off-road,Rainy,46710.7,18564.6,17543.3,5.9
Coupe,Electric,Manual,USA,101,350,175,9.36,36.86,1088,5.72,driven,Continental,225/65R17,Dual Compound,Directional,-1.45,8.5,No,Rough,Rainy,51092.7,28845.1,13866.8,4.69
Truck,Electric,Manual,Japan,348,360,177,6.75,43.04,2232,5.93,dead,Goodyear,245/40R18,Dual Compound,Asymmetric,1.49,7.5,No,Smooth,Rainy,44986.9,28614.4,10204.8,3.79
Truck,Petrol,Automatic,UK,240,189,191,8.8,52.43,1270,5.25,driven,Pirelli,195/65R15,Carbon Black,Directional,-2.02,7.5,Yes,Smooth,Rainy,59980.7,4243.8,34740.5,7.04
Coupe,Hybrid,Manual,India,186,223,279,11.46,41.63,1899,5.86,dead,Continental,245/40R18,Dual Compound,Symmetric,2.08,7.5,No,Smooth,Dry,58440.2,19999.7,23959.8,5.44
SUV,Hybrid,Manual,Japan,358,323,232,6.05,25.6,2429,5.93,driven,Goodyear,205/55R16,Dual Compound,Directional,-2.21,8.0,No,Rough,Humid,58971.9,40351.7,11605.8,3.58
Hatchback,Electric,Automatic,UK,432,172,246,6.93,37.82,1277,6.37,dead,Michelin,245/40R18,Dual Compound,Symmetric,-2.79,8.5,No,Off-road,Rainy,46743.9,34387.7,7701.6,3.3
Hatchback,Petrol,Manual,UK,314,581,265,7.46,32.69,1205,4.63,driven,Pirelli,205/55R16,Dual Compound,Directional,-0.63,7.5,No,Smooth,Rainy,47395.9,16870.7,19026.2,5.34
Hatchback,Hybrid,Automatic,India,97,547,188,11.47,37.26,1912,4.88,dead,Goodyear,245/40R18,Dual Compound,Directional,2.88,8.5,No,Off-road,Cold,63621.7,428.6,39388.0,8.5
Truck,Diesel,Automatic,India,321,494,160,12.47,35.7,1327,4.64,dead,Bridgestone,245/40R18,Silica Compound,Symmetric,-2.34,7.5,No,Rough,Cold,60703.4,416.8,37576.3,7.39
Truck,Electric,Manual,USA,196,449,154,7.76,49.35,1857,6.24,dead,Continental,195/65R15,Silica Compound,Directional,-2.39,8.0,No,Rough,Humid,66255.4,35653.4,19074.1,4.57
SUV,Hybrid,Automatic,Japan,365,173,153,6.97,41.07,1876,6.09,dead,Goodyear,195/65R15,Carbon Black,Directional,1.51,7.5,No,Off-road,Dry,52105.2,28735.3,14566.3,4.31
Hatchback,Diesel,Automatic,Japan,361,395,181,12.89,22.55,1861,5.65,dead,Pirelli,205/55R16,Dual Compound,Asymmetric,-1.13,8.5,No,Off-road,Dry,56419.8,31353.6,15623.7,4.77
Hatchback,Hybrid,Manual,India,223,454,154,13.99,17.52,1335,4.67,driven,Pirelli,205/55R16,Silica Compound,Symmetric,1.3,8.5,No,Off-road,Humid,62163.3,44866.6,10781.0,3.58
Coupe,Diesel,Manual,UK,284,150,202,10.7,31.97,1605,5.05,dead,Bridgestone,225/65R17,Silica Compound,Symmetric,-1.8,8.5,No,Off-road,Humid,69224.6,63774.6,3397.0,2.15
Truck,Electric,Manual,India,118,254,166,13.9,15.62,1591,5.1,driven,Bridgestone,195/65R15,Silica Compound,Asymmetric,-0.24,8.5,No,Smooth,Humid,69689.0,69003.9,427.0,1.91
Hatchback,Hybrid,Automatic,UK,233,177,232,10.6,27.73,2061,5.62,dead,Goodyear,205/55R16,Dual Compound,Asymmetric,-1.41,7.5,No,Off-road,Rainy,69975.3,49057.3,13038.0,3.4
SUV,Hybrid,Automatic,UK,255,224,244,11.33,29.72,2013,5.02,dead,Michelin,195/65R15,Silica Compound,Symmetric,-0.29,8.0,Yes,Smooth,Dry,66715.8,34291.8,20209.7,4.85
SUV,Petrol,Manual,India,320,385,192,7.89,30.02,2251,4.65,dead,Pirelli,245/40R18,Carbon Black,Symmetric,1.61,8.0,No,Rough,Humid,59189.5,8345.4,31690.9,7.23
Hatchback,Electric,Automatic,Germany,448,129,191,8.33,54.17,2157,5.96,driven,Michelin,225/65R17,Carbon Black,Symmetric,1.57,7.5,No,Smooth,Cold,40209.1,15447.3,15433.9,5.05
Truck,Diesel,Manual,Japan,213,372,202,5.44,27.16,1707,5.1,dead,Michelin,195/65R15,Dual Compound,Asymmetric,0.09,7.5,No,Off-road,Rainy,60986.3,34912.0,16252.0,4.03
SUV,Hybrid,Manual,UK,125,414,196,12.23,25.61,1977,5.4,dead,Goodyear,195/65R15,Carbon Black,Asymmetric,2.57,8.5,No,Smooth,Rainy,47158.0,47149.0,5.6,1.73
Coupe,Hybrid,Automatic,UK,129,275,259,13.31,20.18,2413,4.76,driven,Continental,195/65R15,Silica Compound,Directional,-1.42,7.5,No,Rough,Rainy,41715.0,5297.0,22699.1,6.64
SUV,Diesel,Manual,Germany,245,277,191,10.23,35.44,1424,6.11,driven,Continental,195/65R15,Dual Compound,Asymmetric,-1.56,8.0,No,Off-road,Rainy,60915.5,48310.7,7856.5,2.86
Sedan,Electric,Automatic,USA,185,156,246,7.44,21.15,1586,5.63,driven,Continental,205/55R16,Carbon Black,Directional,0.68,7.5,No,Rough,Humid,62680.3,62613.9,41.4,1.57
Sedan,Petrol,Automatic,Germany,295,238,182,5.54,39.65,1805,6.3,driven,Bridgestone,205/55R16,Dual Compound,Directional,0.73,7.5,No,Rough,Rainy,59783.0,48142.7,7255.3,2.73
Truck,Petrol,Manual,Germany,225,186,274,6.65,21.21,1719,5.49,dead,Pirelli,225/65R17,Silica Compound,Asymmetric,-2.72,8.0,No,Off-road,Cold,50955.1,39089.9,7395.5,3.27
Hatchback,Hybrid,Automatic,UK,151,361,256,6.55,38.07,2450,6.38,driven,Bridgestone,245/40R18,Carbon Black,Asymmetric,0.65,8.0,No,Smooth,Cold,55330.1,14312.9,25565.9,6.27
Truck,Diesel,Manual,Japan,409,418,143,10.14,48.05,1948,6.28,driven,Pirelli,245/40R18,Silica Compound,Asymmetric,-0.75,7.5,No,Rough,Humid,68048.4,228.8,42271.6,7.39
Truck,Hybrid,Automatic,Germany,352,582,272,13.45,16.7,1654,5.65,dead,Pirelli,225/65R17,Carbon Black,Asymmetric,1.48,8.5,No,Off-road,Rainy,61888.3,13986.0,29857.3,7.17
Truck,Diesel,Automatic,USA,326,332,219,4.48,31.79,1473,6.37,driven,Pirelli,245/40R18,Dual Compound,Symmetric,1.85,8.5,No,Rough,Cold,55140.5,43550.0,7224.3,3.1
Truck,Petrol,Automatic,India,265,427,180,4.01,33.44,1567,5.15,driven,Goodyear,205/55R16,Carbon Black,Asymmetric,0.31,8.5,No,Smooth,Dry,57803.5,6201.2,32163.4,7.58
Coupe,Electric,Manual,Germany,149,220,271,10.0,46.64,2384,5.23,driven,Continental,195/65R15,Carbon Black,Directional,-2.99,8.0,No,Rough,Rainy,67830.5,20085.9,29759.0,6.14
Coupe,Diesel,Automatic,Germany,229,175,141,6.84,33.72,1210,4.59,dead,Bridgestone,245/40R18,Carbon Black,Directional,0.82,8.0,No,Rough,Humid,51813.5,29145.4,14128.9,4.29
SUV,Petrol,Manual,USA,325,451,182,12.81,37.7,2202,5.68,driven,Bridgestone,195/65R15,Dual Compound,Symmetric,1.49,8.5,No,Rough,Dry,43055.3,24963.9,11276.3,4.52
Sedan,Hybrid,Automatic,Japan,341,443,221,7.27,46.65,2081,5.94,driven,Goodyear,195/65R15,Carbon Black,Symmetric,-1.51,7.5,No,Rough,Rainy,49774.8,27027.1,14178.5,4.1
Truck,Diesel,Automatic,Germany,105,358,247,6.9,37.39,2096,6.05,driven,Pirelli,205/55R16,Silica Compound,Asymmetric,-0.21,7.5,No,Smooth,Dry,52456.0,51453.2,625.0,1.73
SUV,Electric,Manual,Germany,219,512,276,6.7,29.33,1214,4.8,dead,Continental,195/65R15,Dual Compound,Symmetric,2.79,7.5,No,Off-road,Rainy,48188.9,592.0,29666.9,7.47
Sedan,Hybrid,Manual,Japan,178,350,165,5.45,18.43,1899,5.39,dead,Michelin,245/40R18,Dual Compound,Asymmetric,-1.21,8.0,No,Rough,Rainy,55869.2,27241.7,17843.3,4.75
Hatchback,Hybrid,Manual,USA,357,481,221,9.82,44.2,2096,4.85,driven,Michelin,205/55R16,Silica Compound,Asymmetric,-1.66,8.0,No,Smooth,Cold,49145.7,24790.1,15180.7,4.79
Coupe,Petrol,Manual,Germany,130,500,222,5.68,49.85,1466,5.82,dead,Goodyear,225/65R17,Dual Compound,Symmetric,-1.73,8.5,Yes,Rough,Dry,43095.4,12640.8,18982.2,6.57
Sedan,Diesel,Manual,Japan,230,211,270,8.25,53.8,2294,4.82,driven,Continental,205/55R16,Carbon Black,Symmetric,0.35,7.5,No,Rough,Dry,45642.1,23965.3,13511.0,4.33
Hatchback,Hybrid,Automatic,Germany,183,398,212,8.61,52.06,1353,6.31,dead,Michelin,245/40R18,Dual Compound,Directional,2.7,8.0,No,Rough,Humid,67544.7,45476.5,13755.0,3.86
Sedan,Electric,Automatic,India,168,566,239,4.2,46.9,2257,4.96,dead,Michelin,205/55R16,Silica Compound,Symmetric,0.65,8.0,No,Smooth,Humid,58887.9,39617.2,12011.3,3.8
Coupe,Diesel,Manual,UK,220,228,188,4.17,40.74,2342,5.08,driven,Bridgestone,245/40R18,Dual Compound,Symmetric,-1.18,8.5,Yes,Rough,Dry,49429.3,4342.7,28102.2,7.85
Coupe,Electric,Automatic,India,292,436,202,9.2,46.26,2042,6.2,driven,Continental,245/40R18,Silica Compound,Symmetric,0.83,7.5,No,Rough,Cold,51007.5,40931.5,6280.3,2.66
SUV,Hybrid,Automatic,Germany,312,287,194,10.96,32.28,1624,5.42,driven,Michelin,205/55R16,Dual Compound,Directional,0.75,8.0,No,Off-road,Cold,54801.5,51004.3,2366.8,1.92
Truck,Electric,Automatic,USA,262,419,173,13.42,38.79,1371,4.55,dead,Bridgestone,245/40R18,Silica Compound,Asymmetric,0.58,8.0,No,Smooth,Rainy,60193.9,7440.7,32880.8,7.04
Sedan,Petrol,Manual,UK,330,589,244,5.79,28.95,1183,5.49,driven,Continental,225/65R17,Dual Compound,Directional,-2.04,8.0,No,Off-road,Humid,57465.4,23942.4,20894.7,5.25
Sedan,Electric,Automatic,India,88,527,244,5.03,28.07,2300,4.67,dead,Pirelli,245/40R18,Carbon Black,Symmetric,0.81,8.0,No,Off-road,Humid,67980.9,34789.3,20688.2,4.65
Hatchback,Diesel,Automatic,Japan,158,554,208,4.52,45.27,1673,6.47,dead,Continental,225/65R17,Silica Compound,Symmetric,-0.42,7.5,No,Off-road,Humid,58772.5,7923.8,31693.7,6.82
Coupe,Electric,Automatic,USA,131,561,154,8.36,33.16,1754,5.68,driven,Goodyear,225/65R17,Silica Compound,Symmetric,-2.89,8.5,No,Off-road,Rainy,67323.8,33889.7,20839.3,4.94
Sedan,Electric,Manual,India,348,337,142,10.23,23.49,2168,5.01,dead,Bridgestone,245/40R18,Dual Compound,Asymmetric,0.24,7.5,No,Rough,Cold,40162.9,8308.1,19855.0,6.27
Coupe,Petrol,Automatic,Japan,305,341,142,12.41,23.08,2104,5.63,dead,Pirelli,195/65R15,Dual Compound,Directional,2.94,8.5,No,Off-road,Humid,66716.8,62404.3,2688.0,2.16
Sedan,Electric,Automatic,Germany,130,280,241,10.83,49.37,1321,4.65,driven,Bridgestone,225/65R17,Dual Compound,Directional,-0.9,8.0,No,Smooth,Rainy,61643.8,27645.4,21191.0,5.06
SUV,Electric,Manual,Japan,265,135,143,6.08,42.11,1434,6.1,dead,Bridgestone,225/65R17,Carbon Black,Asymmetric,2.79,7.5,No,Rough,Dry,45165.8,44935.5,143.5,1.63
Truck,Hybrid,Manual,India,113,397,227,8.62,36.84,2066,6.35,dead,Michelin,205/55R16,Dual Compound,Directional,-2.42,8.5,No,Off-road,Cold,47891.1,2227.5,28461.9,8.15
Sedan,Hybrid,Automatic,India,370,176,184,13.1,31.04,2336,6.25,driven,Continental,225/65R17,Silica Compound,Asymmetric,1.39,8.5,No,Off-road,Dry,56284.3,7180.8,30606.0,7.57
Coupe,Diesel,Automatic,Germany,309,181,184,7.27,32.23,1292,5.18,driven,Bridgestone,225/65R17,Dual Compound,Asymmetric,-2.31,8.0,No,Smooth,Humid,43748.1,19389.7,15182.5,5.33
SUV,Hybrid,Manual,Japan,210,482,214,8.99,17.3,1687,5.15,driven,Bridgestone,225/65R17,Carbon Black,Directional,-1.36,8.5,No,Smooth,Rainy,63561.0,55575.2,4977.5,2.47
Sedan,Hybrid,Manual,Japan,199,585,148,13.59,33.2,1887,4.57,dead,Goodyear,225/65R17,Dual Compound,Directional,0.43,8.5,No,Off-road,Cold,63735.2,35387.4,17669.0,4.8
Hatchback,Hybrid,Manual,Germany,405,446,257,11.35,46.82,1068,5.8,dead,Goodyear,195/65R15,Dual Compound,Asymmetric,0.56,8.5,No,Off-road,Humid,49028.5,35905.7,8179.4,3.46
Truck,Hybrid,Manual,Japan,326,361,204,11.48,30.52,1055,5.57,dead,Goodyear,225/65R17,Silica Compound,Directional,1.65,8.0,No,Off-road,Cold,42094.5,17829.7,15124.1,5.17
Sedan,Petrol,Manual,Germany,271,209,270,6.52,30.34,1630,5.42,driven,Bridgestone,245/40R18,Dual Compound,Asymmetric,0.69,7.5,No,Off-road,Rainy,69665.4,2822.3,41663.0,7.22
SUV,Hybrid,Manual,USA,402,191,165,8.15,15.63,2227,6.32,dead,Pirelli,195/65R15,Carbon Black,Directional,0.56,8.0,No,Off-road,Rainy,47521.9,30785.3,10431.8,4.09
Hatchback,Petrol,Manual,India,289,445,165,4.82,33.31,1419,4.84,dead,Continental,225/65R17,Dual Compound,Directional,2.47,8.5,No,Smooth,Humid,42026.8,26645.0,9587.4,4.04
SUV,Petrol,Automatic,USA,182,149,162,10.07,16.01,1566,4.52,dead,Bridgestone,245/40R18,Dual Compound,Directional,-0.29,8.5,No,Smooth,Cold,49898.9,3564.2,28880.2,7.94
SUV,Hybrid,Manual,UK,408,478,169,5.04,37.81,1549,4.65,driven,Michelin,245/40R18,Silica Compound,Directional,-1.65,7.5,No,Rough,Rainy,69070.1,11802.8,35694.4,6.6
Hatchback,Electric,Manual,UK,212,526,149,12.36,35.27,1242,4.95,driven,Pirelli,195/65R15,Dual Compound,Directional,-2.03,8.5,No,Rough,Cold,63787.8,30372.9,20827.3,5.17
SUV,Petrol,Automatic,UK,402,407,211,12.15,48.6,2224,4.57,driven,Pirelli,195/65R15,Silica Compound,Symmetric,-0.6,7.5,Yes,Smooth,Cold,54410.0,24301.5,18766.4,4.76
Hatchback,Electric,Manual,Germany,218,205,203,9.34,38.27,1747,5.51,dead,Continental,245/40R18,Silica Compound,Symmetric,1.28,8.5,No,Rough,Dry,49159.9,36988.8,7586.2,3.4
Sedan,Electric,Manual,Japan,200,353,262,5.41,27.94,2497,5.13,dead,Pirelli,195/65R15,Dual Compound,Directional,-2.74,8.5,No,Off-road,Humid,52699.2,20416.4,20121.7,5.84
Hatchback,Hybrid,Automatic,USA,173,354,244,4.26,35.65,1526,4.86,driven,Continental,195/65R15,Silica Compound,Directional,-2.23,8.0,No,Rough,Humid,40521.0,26877.6,8503.9,3.81
Hatchback,Diesel,Manual,USA,208,432,213,11.97,42.99,1076,6.0,driven,Pirelli,205/55R16,Silica Compound,Directional,-2.36,8.0,No,Off-road,Cold,61551.1,43358.1,11339.6,3.47
Truck,Hybrid,Automatic,USA,170,484,244,10.0,18.76,1439,4.91,dead,Continental,195/65R15,Dual Compound,Asymmetric,0.51,7.5,No,Off-road,Dry,42989.3,27728.3,9512.1,3.63
Hatchback,Diesel,Automatic,USA,171,384,186,11.11,39.84,2286,5.88,driven,Goodyear,205/55R16,Dual Compound,Symmetric,-1.54,8.0,No,Rough,Cold,55571.1,33127.4,13989.1,4.17
Hatchback,Diesel,Automatic,UK,142,406,226,7.04,51.67,2208,5.2,dead,Goodyear,195/65R15,Carbon Black,Asymmetric,-2.0,7.5,No,Rough,Humid,56975.4,45904.1,6900.7,2.58
Sedan,Hybrid,Automatic,USA,108,446,192,9.09,26.97,2078,5.52,driven,Pirelli,195/65R15,Carbon Black,Symmetric,0.56,8.0,No,Off-road,Humid,40050.7,26317.6,8559.8,3.61
Truck,Hybrid,Manual,Japan,289,512,268,11.47,40.07,2331,6.37,driven,Pirelli,245/40R18,Silica Compound,Symmetric,1.57,7.5,No,Smooth,Cold,69396.4,57889.4,7172.3,2.69
Coupe,Diesel,Automatic,UK,91,388,141,8.63,47.85,1515,4.57,driven,Continental,205/55R16,Silica Compound,Directional,-1.01,8.5,No,Rough,Cold,49064.2,31238.4,11110.7,4.09
Sedan,Hybrid,Automatic,USA,412,305,197,10.01,35.47,2322,5.5,dead,Continental,195/65R15,Dual Compound,Directional,0.47,7.5,No,Rough,Cold,42316.7,6727.2,22182.8,6.47
Sedan,Diesel,Manual,Germany,376,250,211,11.9,43.72,2253,6.21,driven,Bridgestone,225/65R17,Carbon Black,Asymmetric,-2.41,8.0,No,Smooth,Humid,65631.7,20309.4,28249.1,6.04
Coupe,Electric,Automatic,India,209,410,279,6.15,27.44,2400,5.68,dead,Goodyear,195/65R15,Carbon Black,Asymmetric,2.61,7.5,No,Rough,Cold,44558.6,14720.2,18598.1,5.41
Hatchback,Hybrid,Automatic,India,372,396,166,4.66,27.24,2309,5.05,driven,Bridgestone,245/40R18,Dual Compound,Directional,-0.98,8.0,No,Off-road,Cold,40748.7,3826.9,23013.1,7.49
SUV,Electric,Automatic,India,252,439,168,9.32,41.7,2161,5.3,driven,Bridgestone,245/40R18,Dual Compound,Directional,2.99,8.5,No,Smooth,Rainy,54840.7,37966.6,10517.6,3.82
Truck,Petrol,Automatic,UK,287,470,154,4.62,43.22,1614,5.86,dead,Michelin,245/40R18,Dual Compound,Symmetric,2.87,8.0,No,Smooth,Humid,43897.5,26123.9,11078.2,4.16
SUV,Electric,Manual,USA,103,299,268,11.67,52.48,2030,6.28,dead,Continental,205/55R16,Dual Compound,Symmetric,1.67,8.5,No,Off-road,Cold,69472.7,40971.9,17764.4,4.44
Coupe,Electric,Automatic,UK,178,409,199,11.19,23.99,1675,4.58,driven,Michelin,205/55R16,Carbon Black,Directional,-2.88,8.5,No,Off-road,Dry,40312.3,19290.1,13103.0,5.13
Sedan,Diesel,Manual,Japan,435,599,246,12.82,33.73,2442,4.64,dead,Michelin,205/55R16,Dual Compound,Symmetric,0.26,8.0,No,Off-road,Humid,41535.9,22559.2,11828.1,4.56
Sedan,Electric,Manual,Germany,218,496,142,10.4,25.02,2495,5.15,driven,Bridgestone,225/65R17,Dual Compound,Asymmetric,-2.48,8.5,No,Smooth,Cold,64998.5,525.7,40185.6,8.46
Truck,Hybrid,Automatic,Germany,393,282,254,4.67,18.2,1419,4.97,dead,Michelin,205/55R16,Carbon Black,Symmetric,2.37,8.0,No,Off-road,Cold,47192.6,4542.2,26583.8,7.32
Sedan,Diesel,Automatic,India,253,390,191,6.53,31.13,1275,5.03,dead,Continental,245/40R18,Dual Compound,Directional,1.74,7.5,No,Rough,Rainy,67347.9,46022.4,13292.1,3.45
Sedan,Petrol,Automatic,India,108,495,199,12.08,29.96,1607,4.94,driven,Bridgestone,205/55R16,Carbon Black,Symmetric,2.83,8.5,No,Rough,Rainy,49334.1,12899.2,22709.7,6.88
Truck,Hybrid,Automatic,India,222,215,173,5.67,25.82,1570,4.89,driven,Continental,205/55R16,Carbon Black,Directional,0.65,7.5,No,Off-road,Humid,42093.5,4542.4,23405.4,6.85
